"image","xmin","ymin","xmax","ymax","label"
"Erythema_ab_igne_11.jpg",29.880906225929795,25.718715871719116,200.92315551020968,153.38716859868504,"Erythema_ab_igne"
"Erythema_ab_igne_12.jpg",32.084534520843704,2.133385590992528,250.48453608247422,185,"Erythema_ab_igne"
"Erythema_ab_igne_1.jpg",73.4990419070563,4.149732620320855,175.64572895791582,186.3230009843959,"Erythema_ab_igne"
"Erythema_ab_igne_13.jpg",84.0874154926063,2.697326598957898,225.47338426853707,190.47273360471672,"Erythema_ab_igne"
"Erythema_ab_igne_15.jpg",38.19190381521202,1.7112299465240641,213,134.50267118566177,"Erythema_ab_igne"
"Erythema_ab_igne_16.jpg",71.70103407397711,47.68954264681104,181.5979475827561,183,"Erythema_ab_igne"
"Erythema_ab_igne_14.jpg",21.05026533018868,10.198929873379793,120.85593543862397,291.6256684491978,"Erythema_ab_igne"
"Erythema_ab_igne_18.jpg",39.466036585365856,22.382886917195858,237.7552198456555,189.74117960394386,"Erythema_ab_igne"
"Erythema_ab_igne_19.jpg",16.55825916637074,2.711230344313351,245.2661474979285,193.3315603490819,"Erythema_ab_igne"
"Erythema_ab_igne_21.jpg",46.35991350446428,6.879146025142568,167.82580078125,261.4074997519427,"Erythema_ab_igne"
"Erythema_ab_igne_2.jpg",5.318483892156181,5.775400661529704,223.18931936421217,194.2246054583055,"Erythema_ab_igne"
"Erythema_ab_igne_20.jpg",12.409468182865877,42.07701114919734,299.78336575904984,398.464163387523,"Erythema_ab_igne"
"Erythema_ab_igne_20.jpg",340.32994960998155,122.6823568089123,572.9659821883491,441.04812834224595,"Erythema_ab_igne"
"Erythema_ab_igne_22.jpg",2.287011523046092,0.41497286628274355,119.38200467096301,157.2748726421499,"Erythema_ab_igne"
"Erythema_ab_igne_22.jpg",120.83530494827545,17.636363636363637,208.8641658316633,193.99999999999997,"Erythema_ab_igne"
"Erythema_ab_igne_22.jpg",209.27938995667114,12.449197860962567,257.8613728922689,95.23636680235838,"Erythema_ab_igne"
"Erythema_ab_igne_22.jpg",2.4946315054425257,165.1593551227753,113.15354775713536,194,"Erythema_ab_igne"
"Erythema_ab_igne_26.jpg",14.590745767207125,34.04599029622614,93.36123044000503,197.51871657754012,"Erythema_ab_igne"
"Erythema_ab_igne_26.jpg",123.51758440098546,55.357217268510304,207,181.92513368983958,"Erythema_ab_igne"
"Erythema_ab_igne_25.jpg",33.5394385026738,6.737968373426141,166.1330177184732,156.1764742601364,"Erythema_ab_igne"
"Erythema_ab_igne_27.jpg",56.43877787762378,47.352942298440375,149.33515893407616,204.70587786506206,"Erythema_ab_igne"
"Erythema_ab_igne_24.jpg",14.695651783662683,8.78502628510011,162.11212780522368,189.94652406417114,"Erythema_ab_igne"
"Erythema_ab_igne_23.jpg",92.65211797140421,76.6661324999022,321.9319865290205,513.4043530640172,"Erythema_ab_igne"
"Erythema_ab_igne_23.jpg",522.7034861771102,74.84638306886512,713.1634304114559,444.2541292160536,"Erythema_ab_igne"
"Erythema_ab_igne_28.jpg",42.276408450704224,22.106952667236328,254.68769514056996,136.18717214002965,"Erythema_ab_igne"
